ANT1,20.63,7.60,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,14.39,6.40,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-14.37,-2.14,0.00,10uF,PERFECT_0402_0402
C10,13.65,9.86,0.00,N.C,NORDIC_NRF_3_RESC0201_L
C11,10.84,10.30,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,9.39,11.70,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,11.57,14.66,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,4.35,9.44,180.00,4.7µF,PERFECT_0402_0402
C15,7.54,15.34,0.00,1.0µF,PERFECT_0402_0402
C16,8.49,13.10,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,0.24,8.70,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,0.69,-0.40,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,5.44,0.10,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,13.54,15.30,106.30,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-10.32,0.46,0.00,4.7uF/25V,PERFECT_0402_0402
C20,7.53,-2.76,180.00,4.7µF,PERFECT_0402_0402
C21,5.92,-7.86,90.40,4.7µF,PERFECT_0402_0402
C22,15.99,6.96,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,1.79,3.35,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,-14.50,2.04,0.00,10uF,PERFECT_0402_0402
C25,-3.81,1.14,0.00,22uF,PERFECT_0402_0402
C27,6.85,-4.75,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C29,-21.09,-9.65,0.00,1uF,GRM011R60J152KE01L_1_0201
C3,15.01,8.40,296.80,1pF,NORDIC_NRF_3_RESC0201_L
C30,-9.93,-11.25,90.00,1uF,GRM011R60J152KE01L_1_0201
C31,2.53,-10.55,0.00,1uF,GRM011R60J152KE01L_1_0201
C32,14.79,-11.75,0.00,1uF,GRM011R60J152KE01L_1_0201
C33,-2.32,7.54,93.10,22uF,PERFECT_0402_0402
C34,-8.05,-0.45,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C37,3.21,-2.85,0.00,1uF,GRM011R60J152KE01L_1_0201
C38,-0.83,0.45,0.00,1uF,GRM011R60J152KE01L_1_0201
C39,-9.73,8.34,0.00,10uF,PERFECT_0402_0402
C4,16.13,5.10,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,2.73,9.45,0.00,0.1uF,GRM011R60J152KE01L_1_0201
